region,epiweek,release_date,issue,lag,ili,wili,num_ili,num_patients,num_providers,year,week
nat,201001,2013-12-31,201352,207,1.98283823623218,1.90711760430302,14299,721138,1996,2010,1
nat,201002,2013-12-31,201352,206,1.82748623353375,1.86737529968374,14088,770895,2016,2010,2
nat,201003,2013-12-31,201352,205,1.92605625070969,1.88072330631514,14757,766177,2053,2010,3
nat,201004,2013-12-31,201352,204,1.92494717278953,1.96908433236079,15122,785580,2026,2010,4
nat,201005,2013-12-31,201352,203,2.0887684250423,2.11386811062075,16037,767773,1996,2010,5
nat,201006,2013-12-31,201352,202,2.03434082648651,2.09694583121344,15381,756068,1977,2010,6
nat,201007,2013-12-31,201352,201,1.97649460514715,1.90294345645018,15065,762208,1954,2010,7
nat,201008,2013-12-31,201352,200,1.99361774638287,1.96951462278194,16087,806925,1990,2010,8
nat,201009,2013-12-31,201352,199,1.85382596354543,1.92331036712421,14486,781411,1953,2010,9
nat,201010,2013-12-31,201352,198,1.86730358448397,1.89658616483482,14354,768702,1946,2010,10
nat,201011,2013-12-31,201352,197,1.69986766366336,1.75180555050134,12601,741293,1933,2010,11
nat,201012,2013-12-31,201352,196,1.49740820329748,1.52631922263178,11191,747358,1917,2010,12
nat,201013,2013-12-31,201352,195,1.45111877208932,1.49571988362904,10359,713863,1875,2010,13
nat,201014,2013-12-31,201352,194,1.20714782732567,1.22313021684613,8813,730068,1850,2010,14
nat,201015,2013-12-31,201352,193,1.1741508052025,1.17754240902,8801,749563,1831,2010,15
nat,201016,2013-12-31,201352,192,1.16206676116624,1.09111851417293,8362,719580,1765,2010,16
nat,201017,2013-12-31,201352,191,1.17213431214881,1.11957937083649,8440,720054,1755,2010,17
nat,201018,2013-12-31,201352,190,1.12167653365951,1.08168511952067,7914,705551,1710,2010,18
nat,201019,2013-12-31,201352,189,1.14981162628807,1.12497482672273,7697,669414,1664,2010,19
nat,201020,2013-12-31,201352,188,1.13327579756352,1.0619697897527,7603,670887,1624,2010,20
nat,201021,2013-12-31,201352,187,1.08171331519166,1.08908766932167,6853,633532,1497,2010,21
nat,201022,2013-12-31,201352,186,1.19958601095361,1.17760142013009,6595,549773,1421,2010,22
nat,201023,2013-12-31,201352,185,0.95280825954795,0.974930395182935,5755,604004,1435,2010,23
nat,201024,2013-12-31,201352,184,0.916032112818763,0.987131780132296,5316,580329,1405,2010,24
nat,201025,2013-12-31,201352,183,0.926582172934212,0.99599053755025,5334,575664,1384,2010,25
nat,201026,2013-12-31,201352,182,0.869619711871655,0.904726272396402,4718,542536,1347,2010,26
nat,201027,2013-12-31,201352,181,0.903133146199371,0.941927007840111,4691,519414,1353,2010,27
nat,201028,2013-12-31,201352,180,0.773775692770479,0.880415229455867,4234,547187,1284,2010,28
nat,201029,2013-12-31,201352,179,0.742774403429925,0.842614661882896,3950,531790,1265,2010,29
nat,201030,2013-12-31,201352,178,0.730934475995922,0.858382365250436,3850,526723,1250,2010,30
nat,201031,2013-12-31,201352,177,0.786881828762007,0.833830394847588,4077,518121,1241,2010,31
nat,201032,2013-12-31,201352,176,0.763050679663405,0.847436542815637,4008,525260,1212,2010,32
nat,201033,2013-12-31,201352,175,0.841043206314339,0.888273269260976,4518,537190,1225,2010,33
nat,201034,2013-12-31,201352,174,0.791572794251964,0.76537228790335,4420,558382,1235,2010,34
