WHOREGION,COUNTRY_CODE,ISO_WEEKSTARTDATE,ISO_YEAR,ISO_WEEK,SPEC_PROCESSED_NB,INF_A,INF_B,INF_ALL,RSV
AFR,AGO,2023-05-29,2023,22,3.0,3.0,0.0,3.0,
AFR,AGO,2023-06-26,2023,26,6.0,2.0,0.0,2.0,
AFR,AGO,2023-07-03,2023,27,47.0,4.0,0.0,4.0,
AFR,AGO,2023-07-10,2023,28,23.0,,0.0,,
AFR,AGO,2023-07-17,2023,29,2.0,,0.0,,
AFR,AGO,2023-07-24,2023,30,2.0,,0.0,,
AFR,AGO,2023-08-07,2023,32,1.0,,1.0,1.0,
AFR,AGO,2023-08-21,2023,34,1.0,,0.0,,
AFR,AGO,2023-09-18,2023,38,1.0,,0.0,,
AFR,AGO,2023-09-25,2023,39,0.0,,0.0,,
AFR,AGO,2023-10-02,2023,40,0.0,,0.0,,
AFR,AGO,2023-10-09,2023,41,16.0,,0.0,,
AFR,AGO,2024-05-20,2024,21,42.0,,0.0,,
AFR,AGO,2024-05-27,2024,22,14.0,,0.0,,
AFR,AGO,2024-06-03,2024,23,2.0,,0.0,,
AFR,AGO,2024-06-10,2024,24,4.0,,0.0,,
AFR,AGO,2024-06-17,2024,25,8.0,,0.0,,
AFR,AGO,2024-06-24,2024,26,6.0,,0.0,,
AFR,AGO,2024-07-01,2024,27,1.0,,0.0,,
AFR,AGO,2024-07-08,2024,28,2.0,,0.0,,
AFR,AGO,2024-07-15,2024,29,1.0,,0.0,,
AFR,AGO,2024-08-12,2024,33,1.0,,0.0,,
AFR,AGO,2024-09-09,2024,37,6.0,1.0,0.0,1.0,
AFR,AGO,2024-09-30,2024,40,1.0,,0.0,,
AFR,AGO,2024-10-07,2024,41,2.0,,0.0,,
AFR,AGO,2024-10-21,2024,43,1.0,,0.0,,
AFR,AGO,2024-10-28,2024,44,4.0,2.0,0.0,2.0,
AFR,AGO,2024-11-04,2024,45,1.0,,0.0,,
AFR,AGO,2024-11-18,2024,47,34.0,1.0,0.0,1.0,
AFR,AGO,2025-01-06,2025,2,31.0,7.0,0.0,7.0,
AFR,AGO,2025-09-15,2025,38,3.0,,0.0,,
AFR,AGO,2025-09-22,2025,39,13.0,,0.0,,
AFR,AGO,2026-01-05,2026,2,14.0,,0.0,,
AFR,AGO,2026-01-12,2026,3,0.0,,0.0,,
AFR,AGO,2026-01-19,2026,4,0.0,,0.0,,
AFR,AGO,2026-01-26,2026,5,0.0,,0.0,,
AFR,AGO,2026-02-02,2026,6,0.0,,0.0,,
AFR,AGO,2026-02-09,2026,7,0.0,,0.0,,
AFR,AGO,2026-03-23,2026,13,6.0,,0.0,,
AFR,AGO,2026-03-30,2026,14,6.0,,0.0,,
