series,channel,index,magnitude
ILI_national,growth,52,0.10280977160923244
ILI_national,growth,58,0.19027240056103495
ILI_national,growth,64,0.07837623068257675
ILI_national,growth,256,0.03294319059191501
ILI_national,growth,257,0.11446317384426735
ILI_national,growth,318,0.05368733041054905
ILI_national,growth,319,0.057502401813769234
ILI_national,growth,420,0.1633524669710553
ILI_national,growth,427,0.15631898609362402
ILI_national,growth,526,0.0664538024643367
ILI_national,growth,527,0.11112857535696993
ILI_national,growth,531,0.07017262246515454
ILI_national,growth,532,0.11939078516903034
ILI_national,growth,534,0.05948474160356435
ILI_national,growth,583,0.1612269402546006
ILI_national,growth,584,0.07283306812658824
ILI_national,growth,604,0.09469243070252213
ILI_national,growth,628,0.07990519475990505
ILI_national,growth,631,0.14088030632764678
ILI_national,growth,638,0.047906088050450164
ILI_national,growth,639,0.04167832911069314
ILI_national,growth,665,0.07760983054206749
ILI_national,growth,672,0.26919777229503816
ILI_national,growth,679,0.22208923772738312
ILI_national,growth,680,0.10016729013086864
ILI_national,growth,688,0.010439184949560087
ILI_national,growth,689,0.08000242718943987
ILI_national,growth,731,0.13430293179211206
ILI_national,growth,732,0.02785040693562905
ILI_national,growth,739,0.10718831862138505
ILI_national,growth,741,0.11506365650668882
ILI_national,level,54,0.274990943835549
ILI_national,level,62,0.21642404557888772
ILI_national,level,99,0.24562927904766352
ILI_national,level,110,0.32510185450872653
ILI_national,level,310,0.18443705856977755
ILI_national,level,319,0.316647127126107
ILI_national,level,414,0.3011169799470381
ILI_national,level,424,0.41969183077610817
ILI_national,level,513,0.33695006428702134
ILI_national,level,527,0.28012948925147363
ILI_national,level,556,0.20928548678287018
ILI_national,level,572,0.5391090018818891
ILI_national,level,587,0.6468844067420243
ILI_national,level,602,0.3024925926265436
ILI_national,level,611,0.16862005462732244
ILI_national,level,629,0.3083208453512135
ILI_national,level,639,0.4982317374540325
ILI_national,level,668,0.2689545032149221
ILI_national,level,676,0.4866737495839404
ILI_national,level,719,0.18773232687849117
ILI_national,level,732,0.25825016170348225
ILI_national,level,741,0.41532408322091774
ILI_state_CA,growth,42,0.010647041581622958
ILI_state_CA,growth,43,0.18024804720682663
ILI_state_CA,growth,44,0.005881991006675153
ILI_state_CA,growth,59,0.018381523365721075
ILI_state_CA,growth,60,0.07496991433844702
ILI_state_CA,growth,61,0.04657358758853127
ILI_state_CA,growth,67,0.0978076103196384
ILI_state_CA,growth,69,0.011479871252820942
ILI_state_CA,growth,70,0.08073740930783047
ILI_state_CA,growth,72,0.00426185986514116
ILI_state_CA,growth,74,0.07320889161925281
ILI_state_CA,growth,77,0.07449179021046237
ILI_state_CA,growth,373,0.07444417129420881
ILI_state_CA,growth,378,0.17260621216038605
ILI_state_CA,growth,379,0.10114412091318067
ILI_state_CA,growth,480,0.08865036877358756
ILI_state_CA,growth,481,0.011900086207459339
ILI_state_CA,growth,483,0.014176862712828808
ILI_state_CA,growth,485,0.17815842487416206
ILI_state_CA,growth,487,0.10438749124095548
ILI_state_CA,growth,488,0.04070006367625737
ILI_state_CA,growth,537,0.05671798363475042
ILI_state_CA,growth,540,0.09199123420943536
ILI_state_CA,growth,569,0.13516508725058282
ILI_state_CA,growth,584,0.0449105589855725
ILI_state_CA,growth,588,0.1711047941245917
ILI_state_CA,growth,592,0.14708534506701987
ILI_state_CA,growth,628,0.061013244304547055
ILI_state_CA,growth,633,0.27160401196117245
